-2.5633,-0.62572,0.9354,1.6618,-0.97179,0.3452,-0.086273,0.87996,-0.46192,0.00062521
-3.4637,-0.88703,0.74867,1.4345,-1.1526,0.75139,0.50723,-0.40091,-0.1255,0.20046
-2.0966,-0.25018,0.042457,1.9007,-2.52,0.77663,0.79751,0.24791,-0.2292,-0.37454
-1.6135,-0.5942,1.5332,1.4663,-0.49371,0.57962,0.018415,0.77533,-1.6506,-0.24357
-2.9356,-1.2356,-0.51063,0.046622,-0.16494,-1.4683,1.5013,-0.36378,-0.42991,-0.54596
-4.0263,-0.96807,0.75996,2.724,-0.14465,-0.077638,0.5657,-0.77676,-1.1641,-0.50154
-5.0891,-0.64209,-0.7486,1.3494,-0.3626,-1.1144,2.084,-1.4247,-1.5473,-0.48028
-3.5264,-0.38759,-0.6753,-0.001241,-0.48224,-1.143,2.2922,-0.72716,-1.52,0.075687
-4.6369,-0.65609,-0.12027,1.9549,0.13187,-1.062,1.2602,-1.8696,-1.3119,-0.94539
-3.8666,-0.66834,1.8361,2.0643,-0.7928,0.48488,0.28274,0.76064,-1.3391,0.045211
-2.4246,0.067623,0.2688,2.098,-1.4084,0.1152,0.54797,0.29192,-1.0523,-0.20957
-3.8331,-1.0327,1.5066,1.8019,-0.18653,0.98736,0.17381,-0.41622,-1.4183,-0.44788
-4.586,-0.98762,1.2184,1.4689,-0.33383,-0.22827,0.93798,-1.4516,-0.44768,-0.21687
-4.9067,-0.83902,-0.61447,0.29024,-0.94471,-1.626,2.3294,-0.50867,-0.82109,-0.30486
-3.9517,-0.082298,2.1304,2.562,-1.7973,0.35076,0.64268,1.2479,-1.2834,-0.15093
-1.8683,-0.62152,-0.5997,0.62327,-0.0894,-1.26,0.38953,-0.5668,-0.0565,-0.54644
-3.1027,-0.3874,1.5573,1.73,-0.79035,0.33979,0.66442,0.7413,-0.76501,-0.055325
-4.2367,-0.34394,2.4203,1.1322,0.090594,0.14785,1.3633,-0.38842,-1.3442,-1.0709
-4.9112,-0.10639,0.87488,0.41765,-0.89584,-1.0862,2.9561,-0.9871,-1.9143,-1.1366
-2.2137,0.063032,1.5451,0.45092,-0.28186,-0.073042,0.68861,0.89121,-1.5867,0.16421
-4.1611,-1.1077,0.48004,0.57409,0.22236,-1.3979,1.2504,-0.7023,-0.19346,-1.0917
